recorded_at,stage,config_path,dataset,attack,model,defense,clean_acc,asr,train_loss,epochs,seed,run_dir,checkpoint
2026-04-24 11:28:27,clean,configs/train_clean.cifar10.resnet18.json,cifar10,clean,resnet18,clean,0.8713999938964844,,0.001868832543402036,100,0,outputs/cifar10/clean/resnet18_clean_20260424_111303,
2026-04-24 11:39:14,clean,configs/train_clean.gtsrb.resnet18.json,gtsrb,clean,resnet18,clean,0.9819477844238281,,0.002920407866877685,80,0,outputs/gtsrb/clean/resnet18_clean_20260424_112850,
2026-04-24 11:55:16,clean,configs/train_clean.cub200.resnet50.pretrained.json,cub200,clean,torchvision-resnet50,clean,0.8260269927978515,,0.00462592438239842,50,0,outputs/cub200/clean/torchvision-resnet50_clean_20260424_114045,
2026-04-24 12:14:51,attack,configs/run_attack.cifar10.badnets.resnet18.json,cifar10,badnets,resnet18,none,0.8638,0.9758,0.001860273303464055,20,0,outputs/cifar10/attacks/badnets_resnet18_20260424_121129,./outputs/cifar10/clean/resnet18_clean_20260424_111303/ckpt_epoch_100.pth
2026-04-24 12:17:56,attack,configs/run_attack.gtsrb.badnets.resnet18.json,gtsrb,badnets,resnet18,none,0.9773555027711798,0.9551068883610452,0.005951260216534138,20,0,outputs/gtsrb/attacks/badnets_resnet18_20260424_121454,./outputs/gtsrb/clean/resnet18_clean_20260424_112850/ckpt_epoch_80.pth
2026-04-24 12:22:01,attack,configs/run_attack.cub200.badnets.resnet50.pretrained.json,cub200,badnets,torchvision-resnet50,none,0.6850189851570591,0.22920262340352088,0.17539076507091522,10,0,outputs/cub200/attacks/badnets_torchvision-resnet50_20260424_121800,./outputs/cub200/clean/torchvision-resnet50_clean_20260424_114045/ckpt_epoch_50.pth
2026-04-24 12:34:13,attack,configs/run_attack.cub200.badnets.resnet50.pretrained.json,cub200,badnets,torchvision-resnet50,none,0.5768035899206075,0.37469796341042455,0.3617521822452545,20,0,outputs/cub200/attacks/badnets_torchvision-resnet50_20260424_122623,./outputs/cub200/clean/torchvision-resnet50_clean_20260424_114045/ckpt_epoch_50.pth
2026-04-24 13:10:35,attack,configs/run_attack.cub200.badnets.resnet50.improved.json,cub200,badnets,torchvision-resnet50,none,0.8172247152226441,0.9986192613047981,0.010393657721579075,30,0,outputs/cub200/attacks/badnets_torchvision-resnet50_20260424_125851,./outputs/cub200/clean/torchvision-resnet50_clean_20260424_114045/ckpt_epoch_50.pth
2026-04-24 13:23:14,attack,configs/run_attack.cifar10.blended.resnet18.json,cifar10,blended,resnet18,none,0.8357,0.9278,0.0019591476302593946,20,0,outputs/cifar10/attacks/blended_resnet18_20260424_131953,./outputs/cifar10/clean/resnet18_clean_20260424_111303/ckpt_epoch_100.pth
2026-04-24 13:26:19,attack,configs/run_attack.gtsrb.blended.resnet18.json,gtsrb,blended,resnet18,none,0.964528899445764,0.9133016627078385,0.007056830450892448,20,0,outputs/gtsrb/attacks/blended_resnet18_20260424_132317,./outputs/gtsrb/clean/resnet18_clean_20260424_112850/ckpt_epoch_80.pth
2026-04-24 13:38:14,attack,configs/run_attack.cub200.blended.resnet50.json,cub200,blended,torchvision-resnet50,none,0.6936486020020711,0.8729720400414221,0.026757532730698586,30,0,outputs/cub200/attacks/blended_torchvision-resnet50_20260424_132622,./outputs/cub200/clean/torchvision-resnet50_clean_20260424_114045/ckpt_epoch_50.pth
